Company,TypeName,Inches,CPU_Company,CPU_Frequency (GHz),RAM (GB),GPU_Company,OpSys,Weight (kg),screen_x_size,screen_y_size,Touch_screen,IPS,Full_HD,4k_Ultra_HD,Quad_HD,Screen_Resolution_NA,Price,SSD,HDD,Flash_Storage
Acer,Ultrabook,14.0,Intel,1.8,8,Intel,Windows 10,1.6,1920,1080,0,1,0,0,0,0,884.0,1,0,0
Acer,Notebook,15.6,Intel,2.7,4,Nvidia,Windows 10,2.2,1920,1080,0,0,1,0,0,0,572.0,1,0,0
HP,Notebook,15.6,Intel,2.7,8,Intel,Windows 10,2.05,1366,768,0,0,0,0,0,1,598.0,0,1,0
HP,Notebook,14.0,Intel,1.8,8,Intel,Windows 10,1.63,1920,1080,0,0,1,0,0,0,988.0,1,0,0
Lenovo,Notebook,15.6,Intel,1.1,4,Intel,No OS,1.9,1366,768,0,0,0,0,0,1,252.36,0,1,0
Asus,Gaming,17.3,Intel,2.5,8,Nvidia,Windows 10,3.0,1920,1080,0,0,1,0,0,0,938.0,1,1,0
Lenovo,Notebook,15.6,Intel,2.5,4,Nvidia,No OS,2.2,1920,1080,0,0,1,0,0,0,499.0,0,1,0
HP,Notebook,13.3,Intel,2.5,4,Intel,Windows 10,1.32,1920,1080,0,1,0,0,0,0,699.0,1,0,0
Acer,Notebook,17.3,Intel,2.7,4,Nvidia,Windows 10,3.0,1920,1080,0,1,0,0,0,0,655.0,0,1,0
Lenovo,Notebook,14.0,Intel,1.6,8,AMD,Windows 10,1.75,1920,1080,0,1,0,0,0,0,1116.02,1,0,0
Lenovo,Gaming,15.6,Intel,2.8,8,Nvidia,No OS,2.4,1920,1080,0,1,0,0,0,0,869.0,1,0,0
Toshiba,Notebook,15.6,Intel,2.3,4,Intel,Windows 10,2.1,1366,768,0,0,0,0,0,1,602.0,0,1,0
HP,Notebook,15.6,AMD,2.5,4,AMD,Windows 10,1.86,1366,768,0,0,0,0,0,1,369.0,1,0,0
Asus,Ultrabook,14.0,Intel,1.8,8,Intel,Windows 10,1.25,1920,1080,0,0,1,0,0,0,1099.0,1,0,0
HP,Ultrabook,12.5,Intel,1.2,8,Intel,Windows 10,0.97,3840,2160,1,1,0,0,0,0,2014.0,1,0,0
Asus,Notebook,15.6,Intel,1.1,4,Intel,Windows 10,2.0,1920,1080,0,0,1,0,0,0,344.0,0,1,0
MSI,Gaming,17.3,Intel,2.8,16,Nvidia,Windows 10,2.9,1920,1080,0,0,1,0,0,0,2029.0,1,1,0
Acer,Notebook,15.6,Intel,2.0,4,Intel,Windows 10,2.1,1366,768,0,0,0,0,0,1,447.0,0,1,0
Dell,Gaming,15.6,Intel,2.8,16,Nvidia,Windows 10,2.56,1920,1080,0,0,1,0,0,0,1249.26,1,0,0
Dell,Gaming,15.6,Intel,2.8,8,Nvidia,Windows 10,2.62,1920,1080,0,0,1,0,0,0,899.0,0,0,0
Lenovo,Notebook,15.6,Intel,2.5,4,Intel,Windows 10,1.9,1366,768,0,0,0,0,0,1,498.0,1,0,0
MSI,Gaming,17.3,Intel,2.8,16,Nvidia,Windows 10,2.8,1920,1080,0,0,1,0,0,0,1890.0,1,1,0
HP,Ultrabook,14.0,Intel,2.7,4,Intel,Windows 10,1.48,1920,1080,0,0,1,0,0,0,1082.0,1,0,0
HP,Notebook,15.6,Intel,1.6,6,AMD,Windows 10,1.91,1920,1080,0,0,1,0,0,0,619.0,1,0,0
Lenovo,2 in 1 Convertible,14.0,Intel,2.4,4,Intel,Windows 10,1.74,1920,1080,1,1,0,0,0,0,629.0,1,0,0
Asus,2 in 1 Convertible,13.3,Intel,1.6,8,Intel,Windows 10,1.1,1920,1080,1,0,0,0,0,0,1315.0,1,0,0
Dell,2 in 1 Convertible,15.6,Intel,1.8,8,Intel,Windows 10,1.56,1920,1080,1,0,0,0,0,0,1049.0,1,0,0
Toshiba,Notebook,15.6,Intel,2.2,4,Intel,Windows 10,2.1,1366,768,0,0,0,0,0,1,447.0,0,1,0
Asus,Notebook,15.6,AMD,3.0,4,AMD,Windows 10,2.03,1366,768,0,0,0,0,0,1,403.0,0,1,0
Acer,Notebook,17.3,Intel,1.6,4,Nvidia,Windows 10,3.0,1920,1080,0,1,0,0,0,0,805.0,1,0,0
Dell,Notebook,15.6,Intel,1.6,8,AMD,Windows 10,2.13,1920,1080,0,0,1,0,0,0,728.0,1,0,0
Lenovo,Gaming,15.6,Intel,2.8,16,Nvidia,Windows 10,2.5,1920,1080,0,1,0,0,0,0,1079.0,1,0,0
Acer,Notebook,15.6,Intel,1.1,4,Intel,Windows 10,2.1,1366,768,0,0,0,0,0,1,348.0,0,1,0
MSI,Gaming,15.6,Intel,2.8,16,Nvidia,Windows 10,2.4,1920,1080,0,1,0,0,0,0,1799.0,1,1,0
Acer,Notebook,15.6,Intel,1.1,4,Intel,Windows 10,2.1,1366,768,0,0,0,0,0,1,363.51,0,1,0
Dell,Gaming,15.6,Intel,2.8,8,Nvidia,Windows 10,2.56,1920,1080,0,0,1,0,0,0,1060.49,1,1,0
Acer,Notebook,17.3,Intel,1.6,8,Nvidia,Windows 10,3.0,1920,1080,0,1,0,0,0,0,854.0,1,0,0
HP,Notebook,13.3,Intel,1.6,4,Intel,Windows 10,1.49,1920,1080,0,1,0,0,0,0,754.0,0,1,0
Huawei,Ultrabook,13.0,Intel,2.5,8,Intel,Windows 10,1.05,2160,1440,0,1,0,0,0,0,1349.0,1,0,0
HP,Notebook,17.3,Intel,2.5,6,AMD,Windows 10,2.71,1920,1080,0,1,0,0,0,0,699.0,0,1,0
Lenovo,Notebook,15.6,AMD,2.9,4,AMD,No OS,2.2,1366,768,0,0,0,0,0,1,309.0,0,1,0
Toshiba,Notebook,15.6,Intel,2.4,4,Intel,Windows 10,2.0,1366,768,0,0,0,0,0,1,489.0,0,1,0
HP,Notebook,17.3,Intel,1.6,8,Nvidia,Windows 10,2.5,1920,1080,0,0,1,0,0,0,923.0,1,0,0
Dell,Notebook,15.6,Intel,2.4,8,Intel,Windows 10,2.3,1366,768,0,0,0,0,0,1,459.0,0,1,0
Acer,Notebook,15.6,Intel,2.0,4,Intel,Windows 10,2.1,1366,768,0,0,0,0,0,1,449.0,1,0,0
MSI,Gaming,18.4,Intel,2.9,32,Nvidia,Windows 10,4.4,1920,1080,0,0,1,0,0,0,2799.0,1,1,0
Lenovo,Notebook,15.6,Intel,2.5,8,AMD,Windows 10,1.9,1920,1080,0,0,1,0,0,0,813.0,1,1,0
HP,2 in 1 Convertible,13.3,Intel,1.6,8,Intel,Windows 10,1.29,3840,2160,1,1,0,0,0,0,1499.0,1,0,0
Dell,Notebook,15.6,Intel,1.8,16,AMD,Linux,2.02,1920,1080,0,0,1,0,0,0,1049.0,1,1,0
Dell,Ultrabook,13.3,Intel,1.6,8,Intel,Windows 10,1.23,1920,1080,0,0,1,0,0,0,1399.0,1,0,0
Lenovo,2 in 1 Convertible,13.9,Intel,1.8,16,Intel,Windows 10,1.4,3840,2160,1,1,0,0,0,0,1849.0,1,0,0
